,@form
157,1.273221589855228
158,1.273221589855228
159,1.273221589855228
160,1.4085547041547604
161,1.5438878184542926
162,1.605278365749618
163,1.7624647694127349
164,1.8582606257805265
165,1.929134805656909
166,2.0000089855332916
167,2.0000089855332916
168,2.025452979152427
169,2.1120772366098577
170,2.1732575004481527
171,2.1732575004481527
172,2.1732575004481527
173,2.1732575004481527
174,2.1732575004481527
175,2.262769401824411
176,2.3522813032006695
177,2.3522813032006695
178,2.3522813032006695
179,2.3522813032006695
180,2.3522813032006695
181,2.4936010922639174
182,2.634920881327165
183,2.634920881327165
184,2.6481705061252603
185,2.661420130923356
186,2.6917279008384005
187,2.7538331085788714
188,2.843218750315363
189,2.9131863267814806
190,2.9255656993365338
191,2.9255656993365338
192,2.9478593715787755
193,2.984331769289662
194,2.984331769289662
195,2.9478593715787755
196,2.9255656993365338
197,2.9255656993365338
198,2.9131863267814806
199,2.843218750315363
200,2.710275713865731
201,2.634920881327165
202,2.634920881327165
203,2.634920881327165
204,2.634920881327165
205,2.634920881327165
206,2.633250026355614
207,2.6315791713840624
208,2.6315791713840624
209,2.6315791713840624
210,2.6315791713840624
211,2.6315791713840624
212,2.4955912540435543
213,2.359603336703046
214,2.359603336703046
215,2.3456159420590748
216,2.321272586215749
217,2.2906125603042775
218,2.2666236362657664
219,2.262938776939372
220,2.262938776939372
221,2.2596344057943893
222,2.21974531006229
223,2.0943431515580224
224,1.9288103807748598
225,1.8494766263626616
226,1.799120415152029
227,1.751382621487583
228,1.6572449244056429
229,1.5631072273237028
230,1.5631072273237028
231,1.554990422567737
232,1.554990422567737
233,1.5631072273237028
234,1.5631072273237028
235,1.5631072273237028
236,1.5631072273237028
237,1.5631072273237028
238,1.5631072273237028
239,1.5631072273237028
240,1.5631072273237028
241,1.5631072273237028
242,1.5631072273237028
243,1.5631072273237028
244,1.5631072273237028
245,1.58155409887969
246,1.600000970435677
247,1.6095219571286128
248,1.6330528623469842
249,1.6852374426365264
250,1.6852374426365264
251,1.732669004164085
252,1.7419259039275372
253,1.7419259039275372
254,1.7419259039275372
255,1.7419259039275372
256,1.7427600067993252
257,1.7427600067993252
258,1.7467959176069372
259,1.7499977255427612
260,1.7499977255427612
261,1.7499977255427612
262,1.7499977255427612
263,1.7499977255427612
264,1.7499977255427612
265,1.7499977255427612
266,1.7499977255427612
267,1.7499977255427612
268,1.7499977255427612
269,1.7499977255427612
270,1.7499977255427612
271,1.7499977255427612
272,1.7499977255427612
273,1.7499977255427612
274,1.7499977255427612
275,1.7499977255427612
276,1.7499977255427612
277,1.7499977255427612
278,1.7499977255427612
279,1.7499977255427612
280,1.7499977255427612
281,1.7499977255427612
282,1.7499977255427612
283,1.874996956658859
284,1.9999980938874784
285,2.178897207043878
286,2.178897207043878
287,2.359087387494003
288,2.359087387494003
289,2.359087387494003
290,2.359087387494003
291,2.359087387494003
292,2.359087387494003
293,2.359087387494003
294,2.359087387494003
295,2.359087387494003
296,2.359087387494003
297,2.359087387494003
298,2.359087387494003
299,2.359087387494003
300,2.359087387494003
301,2.359087387494003
302,2.223181559199827
303,2.0885687043118972
304,2.0885687043118972
305,2.0885687043118972
306,2.0885687043118972
307,2.0885687043118972
308,2.0885687043118972
309,2.0885687043118972
310,2.0885687043118972
311,2.0885687043118972
312,2.0885687043118972
313,2.0885687043118972
314,2.0885687043118972
315,2.0885687043118972
316,2.0885687043118972
317,2.0885687043118972
318,2.0992150816687545
319,2.125516730194248
320,2.1411720013628837
321,2.144263530127482
322,2.1479363093622625
323,2.1553862614994412
324,2.2027497729954923
325,2.349167599019891
326,2.4550906152152354
327,2.4550906152152354
328,2.4550906152152354
329,2.4550906152152354
330,2.471136300450081
331,2.4962586916375984
332,2.5369971646811043
333,2.5369971646811043
334,2.5369971646811043
335,2.5369971646811043
336,2.5369971646811043
337,2.5369971646811043
338,2.5369971646811043
339,2.480213006402753
340,2.4550906152152354
341,2.3131650096691114
342,2.1667471836447127
343,2.1667471836447127
344,2.154805011029259
345,1.9874685902297178
346,1.8275821215673558
347,1.8275821215673558
348,1.8275821215673558
349,1.8275821215673558
350,1.8275821215673558
351,1.8275821215673558
352,1.8275821215673558
353,1.8275821215673558
354,1.8228859799505712
355,1.818189838333787
356,1.818189838333787
357,1.818189838333787
358,1.818189838333787
359,1.818189838333787
360,1.7680714638906037
361,1.671478376925375
362,1.6201912687907174
363,1.5889391963984374
364,1.5889391963984374
365,1.6666659813127631
366,1.6666659813127631
367,1.6666659813127631
368,1.6666659813127631
369,1.8941902037182623
370,1.8941902037182623
371,2.070427317989104
372,2.070427317989104
373,2.070427317989104
374,2.070427317989104
375,2.070427317989104
376,2.070427317989104
377,2.070427317989104
378,1.983707924207276
379,1.8969885304254477
380,1.8969885304254477
381,1.8074708099364343
382,1.6666659813127631
383,1.6666659813127631
384,1.8074708099364343
385,1.7760777959230512
386,1.7760777959230512
387,1.5898773291257986
388,1.5898773291257986
389,1.5898773291257986
390,1.7760777959230512
391,1.8969885304254477
392,1.8969885304254477
393,1.9768426023842482
394,2.056696674343049
395,2.056696674343049
396,2.056696674343049
397,2.056696674343049
398,2.056696674343049
399,2.056696674343049
400,2.056696674343049
401,2.056696674343049
402,2.1146933091171416
403,2.1146933091171416
404,2.131799183228392
405,2.1726899438912337
406,2.1726899438912337
407,2.2285018568469708
408,2.2285018568469708
409,2.2285018568469708
410,2.2915325181680513
411,2.307271490187011
412,2.315791713840627
413,2.315791713840627
414,2.3397119252518723
415,2.3658447178935367
416,2.385678537396127
417,2.385678537396127
418,2.3658447178935367
419,2.3397119252518723
420,2.3397119252518723
421,2.3397119252518723
422,2.3397119252518723
423,2.315791713840627
424,2.315791713840627
425,2.315791713840627
426,2.315791713840627
427,2.315791713840627
428,2.315791713840627
429,2.315791713840627
430,2.3419245064822913
431,2.385678537396127
432,2.385678537396127
433,2.385678537396127
434,2.385678537396127
435,2.385678537396127
436,2.385678537396127
437,2.4032997756682986
438,2.4032997756682986
439,2.4032997756682986
440,2.385678537396127
441,2.3420876154248544
442,2.3420876154248544
443,2.3420876154248544
444,2.362683731341301
445,2.3117998153123933
446,2.302622219153873
447,2.3117998153123933
448,2.322365699396409
449,2.368931499011956
450,2.368931499011956
451,2.368931499011956
452,2.368931499011956
453,2.412816883228013
454,2.433104375076671
455,2.4520991389380047
456,2.433104375076671
457,2.412816883228013
458,2.3729667371860295
459,2.3366839434152102
460,2.3366839434152102
461,2.3326487052411373
462,2.3326487052411373
463,2.3326487052411373
464,2.3326487052411373
465,2.3326487052411373
466,2.3326487052411373
467,2.3326487052411373
468,2.3366839434152102
469,2.3366839434152102
470,2.3366839434152102
471,2.3366839434152102
472,2.3366839434152102
473,2.3326487052411373
474,2.3326487052411373
475,2.3366839434152102
476,2.3366839434152102
477,2.3976979831332086
478,2.3976979831332086
479,2.3976979831332086
480,2.3976979831332086
481,2.3976979831332086
482,2.3976979831332086
